agent_id;date;product_id;lang_id;calls_handled;avg_aht;std_pass
3;11/1/2020;1;1;11;1.483,05;0
5;9/7/2020;1;1;21;1.609,03;0
4;27/7/2020;3;2;14;187,57;1
4;3/7/2020;3;2;14;198,57;1
3;15/1/2020;2;1;14;605,17;1
10;18/7/2020;3;2;35;470,77;1
4;7/7/2020;1;2;10;975,86;0
9;6/7/2020;2;1;36;778,17;1
2;9/7/2020;1;2;4;730,73;0
8;13/7/2020;2;2;25;443,02;1
6;9/7/2020;2;2;18;146,03;1
9;15/7/2020;2;1;36;326,17;1
2;18/7/2020;1;2;4;436,73;0
1;24/7/2020;3;1;10;1.456,95;0
10;12/7/2020;3;2;36;362,44;1
7;18/7/2020;3;1;29;370,23;1
3;6/1/2020;2;1;13;742,83;1
3;2/1/2020;1;1;14;1.777,05;0
3;22/1/2020;3;1;17;457,87;1
4;1/7/2020;1;2;8;381,86;0
7;16/7/2020;1;1;25;1.190,16;1
3;5/1/2020;1;1;11;1.639,05;0
10;25/7/2020;1;2;29;901,75;1
6;13/7/2020;3;2;19;402,84;1
7;20/7/2020;2;1;28;394,93;1
1;13/7/2020;1;1;4;1.839,15;0
1;12/7/2020;3;1;10;1.422,95;0
2;10/7/2020;2;2;5;41,08;0
5;6/7/2020;1;1;20;1.298,03;0
4;26/7/2020;2;2;13;689,04;1
5;8/7/2020;3;1;24;154,06;1
5;19/7/2020;2;1;21;576,30;1
10;15/7/2020;3;2;35;441,77;1
6;11/7/2020;1;2;16;874,24;1
9;1/7/2020;3;1;37;300,99;1
1;25/7/2020;1;1;3;1.054,15;0
3;1/1/2020;3;1;17;635,87;1
5;10/7/2020;2;1;23;768,30;1
1;21/7/2020;3;1;8;783,62;0
4;24/7/2020;3;2;14;212,57;1
2;26/7/2020;3;2;7;446,53;0
4;2/7/2020;2;2;11;179,04;1
3;27/1/2020;2;1;16;537,83;1
2;1/7/2020;2;2;3;207,08;0
7;2/7/2020;2;1;29;504,64;1
1;8/7/2020;2;1;6;607,50;0
5;20/7/2020;3;1;22;359,39;1
4;22/7/2020;1;2;11;708,86;1
1;4/7/2020;1;1;4;1.713,15;0
1;23/7/2020;2;1;7;1.211,50;0
5;22/7/2020;2;1;21;696,30;1
3;24/1/2020;2;1;14;368,17;1
6;14/7/2020;1;2;17;878,58;1
8;6/7/2020;1;2;25;1.437,93;0
10;8/7/2020;2;2;33;63,02;1
5;13/7/2020;2;1;21;643,30;1
2;24/7/2020;1;2;4;473,73;0
8;27/7/2020;1;2;22;1.214,43;0
7;9/7/2020;3;1;30;84,96;1
7;13/7/2020;1;1;25;1.530,16;0
8;21/7/2020;1;2;25;793,93;1
6;17/7/2020;1;2;17;875,58;1
1;2/7/2020;2;1;8;1.470,50;0
1;26/7/2020;2;1;9;1.813,50;0
9;18/7/2020;2;1;36;734,17;1
10;10/7/2020;1;2;31;860,75;1
5;2/7/2020;3;1;25;596,39;1
9;11/7/2020;1;1;35;1.718,68;0
2;15/7/2020;1;2;2;105,73;0
7;11/7/2020;2;1;28;668,93;1
8;26/7/2020;3;2;29;25,71;1
2;4/7/2020;2;2;5;8,08;0
1;16/7/2020;1;1;4;1.942,15;0
8;22/7/2020;2;2;26;197,27;1
5;24/7/2020;1;1;20;1.382,03;0
2;17/7/2020;3;2;5;107,86;0
6;25/7/2020;3;2;22;331,18;1
2;22/7/2020;2;2;4;262,93;0
7;6/7/2020;3;1;30;104,04;1
5;12/7/2020;1;1;20;1.399,03;0
7;26/7/2020;2;1;27;254,21;1
5;21/7/2020;1;1;19;1.566,03;0
9;12/7/2020;2;1;37;449,94;1
5;26/7/2020;3;1;23;518,72;1
5;7/7/2020;2;1;22;508,30;1
9;21/7/2020;2;1;36;364,17;1
3;20/1/2020;1;1;14;1.562,05;0
10;11/7/2020;2;2;32;200,02;1
4;20/7/2020;2;2;13;219,04;1
6;8/7/2020;1;2;16;1.091,24;1
7;1/7/2020;1;1;28;1.802,45;0
6;12/7/2020;2;2;19;480,69;1
1;18/7/2020;3;1;8;686,62;0
7;10/7/2020;1;1;27;1.698,02;0
3;9/1/2020;2;1;13;816,83;1
6;18/7/2020;2;2;18;119,03;1
2;7/7/2020;2;2;3;101,93;0
9;16/7/2020;3;1;39;279,03;1
9;20/7/2020;1;1;33;1.465,57;0
7;27/7/2020;3;1;29;296,23;1
10;17/7/2020;2;2;34;366,02;1
4;16/7/2020;1;2;8;761,86;0
1;22/7/2020;1;1;6;2.972,15;0
1;14/7/2020;2;1;7;1.182,50;0
5;11/7/2020;3;1;23;290,72;1
10;24/7/2020;3;2;34;238,11;1
10;20/7/2020;2;2;34;722,02;1
8;7/7/2020;2;2;27;268,52;1
7;24/7/2020;3;1;30;249,04;1
8;19/7/2020;2;2;24;123,77;1
3;3/1/2020;2;1;15;960,50;1
10;3/7/2020;3;2;33;157,56;1
8;8/7/2020;3;2;28;80,12;1
8;18/7/2020;1;2;24;903,43;1
4;21/7/2020;3;2;12;73,90;1
7;8/7/2020;2;1;30;900,36;1
9;4/7/2020;3;1;38;585,51;1
10;19/7/2020;1;2;31;1.390,75;0
5;27/7/2020;1;1;18;1.422,03;0
5;17/7/2020;3;1;24;464,06;1
4;5/7/2020;2;2;10;138,46;0
2;13/7/2020;2;2;5;131,93;0
6;27/7/2020;2;2;19;445,69;1
1;3/7/2020;3;1;8;494,62;0
5;23/7/2020;3;1;24;504,06;1
9;27/7/2020;2;1;34;427,61;1
10;9/7/2020;3;2;34;207,90;1
1;19/7/2020;1;1;4;1.668,15;0
10;7/7/2020;1;2;32;1.293,75;0
9;19/7/2020;3;1;37;22,01;1
4;14/7/2020;2;2;11;31,04;1
1;1/7/2020;1;1;6;2.992,15;0
5;1/7/2020;2;1;20;545,30;1
1;15/7/2020;3;1;10;1.275,95;0
8;14/7/2020;3;2;26;356,21;1
1;10/7/2020;1;1;4;1.820,15;0
2;8/7/2020;3;2;7;9,52;0
9;23/7/2020;1;1;33;1.400,57;0
10;27/7/2020;3;2;35;479,77;1
2;12/7/2020;1;2;3;490,73;0
8;25/7/2020;2;2;24;34,77;1
8;15/7/2020;1;2;25;1.421,93;0
7;19/7/2020;1;1;25;1.023,16;1
5;4/7/2020;2;1;21;847,30;1
10;26/7/2020;2;2;34;468,02;1
10;22/7/2020;1;2;31;937,75;1
9;3/7/2020;2;1;36;896,17;1
9;8/7/2020;1;1;35;1.616,68;0
